LCD Model,Brand,Size,Type,Resolution,Brightness,Interface
LS044K3SX01,SHARP,4.4,LCD,800x1280,450,MIPI
LS055T1SX13,SHARP,5.5,LCD,1080x1920,450,MIPI
BV055HDM-T00,BOE,5.5,,720x1280,,MIPI
BV050SQM-N00-390C,BOE,5.0,LCD,720x1280,500,MIPI
TL014XXXA01,White Brand,1.4,OLED,400x4400,300,MIPI
PZ024XDHG01,White Brand,2.4,LCD,320x320,600,MIPI
TL068HWX02,White Brand,6.8,LCD,480x1280,550,MIPI
PZ022AD-01,White Brand,2.1,LCD,320x320,560,MIPI
TM050JDHN19-02,Tianma,5.0,Assembly,720x1280,450,MIPI
LH350H01-FD01,LG Display,3.5,LCD,320x480,450,MIPI
